image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/51lzTNLQ-6S.jpg,416664,height,27.5 centimetre
https://m.media-amazon.com/images/I/51lzTNLQ-6S.jpg,416664,width,12 centimetre
https://m.media-amazon.com/images/I/51lzTNLQ-6S.jpg,416664,item_weight,
https://m.media-amazon.com/images/I/51lzTNLQ-6S.jpg,416664,depth,
https://m.media-amazon.com/images/I/510KhVw4VSL.jpg,752266,height,9.1 centimetre
https://m.media-amazon.com/images/I/510KhVw4VSL.jpg,752266,width,11 centimetre
https://m.media-amazon.com/images/I/510KhVw4VSL.jpg,752266,depth,
https://m.media-amazon.com/images/I/510KhVw4VSL.jpg,752266,item_weight,
https://m.media-amazon.com/images/I/51MsegDL9VL.jpg,204245,height,43.2 centimetre
https://m.media-amazon.com/images/I/51MsegDL9VL.jpg,204245,width,3.8 centimetre
https://m.media-amazon.com/images/I/51MsegDL9VL.jpg,204245,depth,
https://m.media-amazon.com/images/I/612J1R1xHlL.jpg,558806,height,5.0 centimetre
https://m.media-amazon.com/images/I/612J1R1xHlL.jpg,558806,width,8.0 centimetre
https://m.media-amazon.com/images/I/612J1R1xHlL.jpg,558806,depth,
https://m.media-amazon.com/images/I/515WWrQ0UIL.jpg,488883,height,72.0 centimetre
https://m.media-amazon.com/images/I/515WWrQ0UIL.jpg,488883,width,40.0 centimetre
https://m.media-amazon.com/images/I/515WWrQ0UIL.jpg,488883,depth,40.0 centimetre
https://m.media-amazon.com/images/I/51glSG-nd+L.jpg,955522,height,99.0 millimetre
https://m.media-amazon.com/images/I/51glSG-nd+L.jpg,955522,width,70.0 millimetre
https://m.media-amazon.com/images/I/51glSG-nd+L.jpg,955522,depth,
https://m.media-amazon.com/images/I/61-1ebQE-9L.jpg,648011,height,85.0 millimetre
https://m.media-amazon.com/images/I/61-1ebQE-9L.jpg,648011,width,50.0 millimetre
https://m.media-amazon.com/images/I/61-1ebQE-9L.jpg,648011,depth,
https://m.media-amazon.com/images/I/51MsegDL9VL.jpg,204245,item_weight,
https://m.media-amazon.com/images/I/51glSG-nd+L.jpg,955522,item_weight,
https://m.media-amazon.com/images/I/41Qa3mopvCL.jpg,681045,width,1.5 inch
https://m.media-amazon.com/images/I/41Qa3mopvCL.jpg,681045,depth,12.2 inch
https://m.media-amazon.com/images/I/41Qa3mopvCL.jpg,681045,height,
https://m.media-amazon.com/images/I/4122kQj7VSS.jpg,296275,height,13.6 centimetre
https://m.media-amazon.com/images/I/4122kQj7VSS.jpg,296275,width,1.3 centimetre
https://m.media-amazon.com/images/I/4122kQj7VSS.jpg,296275,depth,
https://m.media-amazon.com/images/I/511y7How93L.jpg,550840,height,
https://m.media-amazon.com/images/I/511y7How93L.jpg,550840,width,
https://m.media-amazon.com/images/I/515GglRgoRL.jpg,483370,height,10.5 centimetre
https://m.media-amazon.com/images/I/515GglRgoRL.jpg,483370,width,11 centimetre
https://m.media-amazon.com/images/I/515GglRgoRL.jpg,483370,depth,
https://m.media-amazon.com/images/I/611l903y4gL.jpg,844474,height,
https://m.media-amazon.com/images/I/611l903y4gL.jpg,844474,width,
https://m.media-amazon.com/images/I/611l903y4gL.jpg,844474,depth,
https://m.media-amazon.com/images/I/613YI5EuKkL.jpg,142748,height,14.5 inch
https://m.media-amazon.com/images/I/613YI5EuKkL.jpg,142748,width,47.7 inch
https://m.media-amazon.com/images/I/613YI5EuKkL.jpg,142748,depth,
https://m.media-amazon.com/images/I/616WPJx+IAL.jpg,752266,height,3.9 inch
https://m.media-amazon.com/images/I/616WPJx+IAL.jpg,752266,width,
https://m.media-amazon.com/images/I/612K+MleytL.jpg,659650,height,2.5 inch
https://m.media-amazon.com/images/I/612K+MleytL.jpg,659650,width,9 inch
https://m.media-amazon.com/images/I/612K+MleytL.jpg,659650,depth,5.6 inch
https://m.media-amazon.com/images/I/51Xb+R9G1lL.jpg,599772,height,40.0 centimetre
https://m.media-amazon.com/images/I/51Xb+R9G1lL.jpg,599772,width,
https://m.media-amazon.com/images/I/51Xb+R9G1lL.jpg,599772,depth,
https://m.media-amazon.com/images/I/51cmRLa0vLS.jpg,161371,height,
https://m.media-amazon.com/images/I/51cmRLa0vLS.jpg,161371,width,
https://m.media-amazon.com/images/I/51cmRLa0vLS.jpg,161371,depth,
https://m.media-amazon.com/images/I/61BANFCQvdL.jpg,730949,height,
https://m.media-amazon.com/images/I/61BANFCQvdL.jpg,730949,width,
https://m.media-amazon.com/images/I/61BANFCQvdL.jpg,730949,depth,125.0 millimetre
https://m.media-amazon.com/images/I/510DDNc+feL.jpg,373107,height,
https://m.media-amazon.com/images/I/510DDNc+feL.jpg,373107,width,8.0 millimetre
https://m.media-amazon.com/images/I/510DDNc+feL.jpg,373107,depth,
https://m.media-amazon.com/images/I/51aZ48N16IL.jpg,722930,height,20.3 centimetre
https://m.media-amazon.com/images/I/51aZ48N16IL.jpg,722930,width,4.8 centimetre
https://m.media-amazon.com/images/I/51aZ48N16IL.jpg,722930,depth,
https://m.media-amazon.com/images/I/617HagPgdgL.jpg,730429,height,7.9 inch
https://m.media-amazon.com/images/I/617HagPgdgL.jpg,730429,width,7.9 inch
https://m.media-amazon.com/images/I/617HagPgdgL.jpg,730429,depth,
https://m.media-amazon.com/images/I/51VMm80GsYL.jpg,186035,height,263.0 millimetre
https://m.media-amazon.com/images/I/51VMm80GsYL.jpg,186035,width,140.0 millimetre
https://m.media-amazon.com/images/I/51VMm80GsYL.jpg,186035,depth,180.0 millimetre
https://m.media-amazon.com/images/I/51vVIdO-bpL.jpg,675317,height,4.13 inch
https://m.media-amazon.com/images/I/51vVIdO-bpL.jpg,675317,width,
https://m.media-amazon.com/images/I/51vVIdO-bpL.jpg,675317,depth,1.18 inch
https://m.media-amazon.com/images/I/515ndJEEDPL.jpg,675317,height,39.0 millimetre
https://m.media-amazon.com/images/I/515ndJEEDPL.jpg,675317,width,32.0 millimetre
https://m.media-amazon.com/images/I/515ndJEEDPL.jpg,675317,depth,20.0 millimetre
https://m.media-amazon.com/images/I/51irRBZQ8WL.jpg,658892,height,15.8 centimetre
https://m.media-amazon.com/images/I/51irRBZQ8WL.jpg,658892,width,15.8 centimetre
https://m.media-amazon.com/images/I/51irRBZQ8WL.jpg,658892,depth,15.8 centimetre
https://m.media-amazon.com/images/I/51cJ3yRUVeL.jpg,639508,height,40.0 centimetre
https://m.media-amazon.com/images/I/51cJ3yRUVeL.jpg,639508,width,50.0 centimetre
https://m.media-amazon.com/images/I/51cJ3yRUVeL.jpg,639508,depth,
https://m.media-amazon.com/images/I/51za22UCkyL.jpg,784538,height,80.0 centimetre
https://m.media-amazon.com/images/I/51za22UCkyL.jpg,784538,width,150.0 centimetre
https://m.media-amazon.com/images/I/51za22UCkyL.jpg,784538,depth,
https://m.media-amazon.com/images/I/51V-Y09SlyL.jpg,858439,height,70.0 millimetre
https://m.media-amazon.com/images/I/51V-Y09SlyL.jpg,858439,width,70.0 millimetre
https://m.media-amazon.com/images/I/51V-Y09SlyL.jpg,858439,depth,8.0 millimetre
https://m.media-amazon.com/images/I/51QrPdjmhHL.jpg,358831,depth,6.0 millimetre
https://m.media-amazon.com/images/I/61Drr5Mq3nL.jpg,603688,height,20.0 centimetre
https://m.media-amazon.com/images/I/61Drr5Mq3nL.jpg,603688,width,42.0 centimetre
https://m.media-amazon.com/images/I/61Drr5Mq3nL.jpg,603688,depth,
https://m.media-amazon.com/images/I/41tz3LKN6LL.jpg,695925,height,23.0 centimetre
https://m.media-amazon.com/images/I/41tz3LKN6LL.jpg,695925,width,27.0 centimetre
https://m.media-amazon.com/images/I/41tz3LKN6LL.jpg,695925,depth,
https://m.media-amazon.com/images/I/618KAPWsdFL.jpg,460806,Height,
https://m.media-amazon.com/images/I/618KAPWsdFL.jpg,460806,width,77.0 millimetre
https://m.media-amazon.com/images/I/615pcpMYSqL.jpg,478233,height,7.3 inch
https://m.media-amazon.com/images/I/615pcpMYSqL.jpg,478233,width,
https://m.media-amazon.com/images/I/615pcpMYSqL.jpg,478233,depth,
https://m.media-amazon.com/images/I/61+OZqqny+L.jpg,178778,height,15.0 centimetre
https://m.media-amazon.com/images/I/61+OZqqny+L.jpg,178778,width,23.0 centimetre
https://m.media-amazon.com/images/I/61+OZqqny+L.jpg,178778,depth,9.0 centimetre
https://m.media-amazon.com/images/I/51mTnlUhGCL.jpg,347830,height,
https://m.media-amazon.com/images/I/51mTnlUhGCL.jpg,347830,width,
https://m.media-amazon.com/images/I/51mTnlUhGCL.jpg,347830,depth,
https://m.media-amazon.com/images/I/51Zoj-r-D+L.jpg,967116,height,22.0 inch
https://m.media-amazon.com/images/I/51Zoj-r-D+L.jpg,967116,width,32.0 inch
https://m.media-amazon.com/images/I/51Zoj-r-D+L.jpg,967116,depth,27.5 inch
https://m.media-amazon.com/images/I/519c3S677DL.jpg,916768,height,5.0 centimetre
https://m.media-amazon.com/images/I/519c3S677DL.jpg,916768,width,9.0 centimetre
https://m.media-amazon.com/images/I/519c3S677DL.jpg,916768,depth,23.0 centimetre
https://m.media-amazon.com/images/I/61CXBB4h+tL.jpg,752266,height,
https://m.media-amazon.com/images/I/61CXBB4h+tL.jpg,752266,width,
https://m.media-amazon.com/images/I/61CXBB4h+tL.jpg,752266,depth,
https://m.media-amazon.com/images/I/615qSagL8wL.jpg,917343,height,61.0 centimetre
https://m.media-amazon.com/images/I/615qSagL8wL.jpg,917343,width,183.0 centimetre
https://m.media-amazon.com/images/I/51qeGjxa1AL.jpg,219199,height,10.0 centimetre
https://m.media-amazon.com/images/I/51qeGjxa1AL.jpg,219199,width,40.0 centimetre
https://m.media-amazon.com/images/I/51qeGjxa1AL.jpg,219199,depth,
https://m.media-amazon.com/images/I/51kN5MT7gcL.jpg,178778,height,4.33 inch
https://m.media-amazon.com/images/I/51kN5MT7gcL.jpg,178778,width,6.49 inch
https://m.media-amazon.com/images/I/51kN5MT7gcL.jpg,178778,depth,2.36 inch
https://m.media-amazon.com/images/I/51OHry7jPLS.jpg,730429,height,4.5 inch
https://m.media-amazon.com/images/I/51OHry7jPLS.jpg,730429,width,3.5 inch
https://m.media-amazon.com/images/I/51OHry7jPLS.jpg,730429,depth,4.6 inch
https://m.media-amazon.com/images/I/51vnEYBwXSL.jpg,430434,height,90.0 millimetre
https://m.media-amazon.com/images/I/51vnEYBwXSL.jpg,430434,width,31.0 millimetre
https://m.media-amazon.com/images/I/51vnEYBwXSL.jpg,430434,depth,
https://m.media-amazon.com/images/I/51s5SaVOZWL.jpg,752266,width,
https://m.media-amazon.com/images/I/51s5SaVOZWL.jpg,752266,height,
https://m.media-amazon.com/images/I/61DDUiLXoRL.jpg,972028,width,34.0 inch
https://m.media-amazon.com/images/I/61-VfIhopNL.jpg,245959,height,20.0 centimetre
https://m.media-amazon.com/images/I/61-VfIhopNL.jpg,245959,width,40.0 centimetre
https://m.media-amazon.com/images/I/61-VfIhopNL.jpg,245959,depth,20.0 centimetre
https://m.media-amazon.com/images/I/41OWTkcId5L.jpg,347404,height,35.5 centimetre
https://m.media-amazon.com/images/I/41OWTkcId5L.jpg,347404,width,20.0 centimetre
https://m.media-amazon.com/images/I/41OWTkcId5L.jpg,347404,depth,
https://m.media-amazon.com/images/I/5160caZf+IL.jpg,131797,height,17.5 centimetre
https://m.media-amazon.com/images/I/5160caZf+IL.jpg,131797,width,4.5 centimetre
https://m.media-amazon.com/images/I/5160caZf+IL.jpg,131797,depth,2 centimetre
https://m.media-amazon.com/images/I/6165kb0SerS.jpg,579652,height,76.0 centimetre
https://m.media-amazon.com/images/I/6165kb0SerS.jpg,579652,width,32.0 centimetre
https://m.media-amazon.com/images/I/6165kb0SerS.jpg,579652,depth,9.0 centimetre
https://m.media-amazon.com/images/I/612susnnDXL.jpg,245959,height,25.0 centimetre
https://m.media-amazon.com/images/I/612susnnDXL.jpg,245959,width,46.0 centimetre
https://m.media-amazon.com/images/I/612susnnDXL.jpg,245959,depth,
https://m.media-amazon.com/images/I/512tZoscVpL.jpg,639475,height,
https://m.media-amazon.com/images/I/512tZoscVpL.jpg,639475,width,
https://m.media-amazon.com/images/I/512tZoscVpL.jpg,639475,depth,
https://m.media-amazon.com/images/I/51k7GMS8dgL.jpg,630869,depth,12.0 millimetre
https://m.media-amazon.com/images/I/51k7GMS8dgL.jpg,630869,height,41.0 millimetre
https://m.media-amazon.com/images/I/51k7GMS8dgL.jpg,630869,width,41.0 millimetre
https://m.media-amazon.com/images/I/51lgIV0x66S.jpg,630869,height,1.50 centimetre
https://m.media-amazon.com/images/I/51lgIV0x66S.jpg,630869,width,18.0 centimetre
https://m.media-amazon.com/images/I/51lgIV0x66S.jpg,630869,depth,
https://m.media-amazon.com/images/I/51VljlfQ45L.jpg,396159,height,35.0 centimetre
https://m.media-amazon.com/images/I/51VljlfQ45L.jpg,396159,width,23.0 centimetre
https://m.media-amazon.com/images/I/51VljlfQ45L.jpg,396159,depth,
https://m.media-amazon.com/images/I/61ASyOTCPKL.jpg,630869,width,20.0 centimetre
https://m.media-amazon.com/images/I/61ASyOTCPKL.jpg,630869,height,
https://m.media-amazon.com/images/I/61ASyOTCPKL.jpg,630869,depth,
https://m.media-amazon.com/images/I/616yGsRWLUL.jpg,681445,height,2.75 inch
https://m.media-amazon.com/images/I/616yGsRWLUL.jpg,681445,width,5.31 inch
https://m.media-amazon.com/images/I/616yGsRWLUL.jpg,681445,depth,
https://m.media-amazon.com/images/I/611GVtaeEaL.jpg,630869,height,
